,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
0,8/31/22 23:32,Oklahoma City,OK,USA,Light,30 seconds,A light approximately mid-cloud level went across the sky within 15-30 seconds,10/8/22,
1,8/31/22 23:15,Ypsilanti,MI,USA,Diamond,From 11:00 it still going,"The bright object seeing at 110 SW from my location, pictures and video exist and available on request",9/9/22,
2,8/31/22 22:59,Great falls,MT,USA,Diamond,About 4 or 5 minutes,"It was kind of hard to see, but it was bright yellow and flashed red",9/9/22,Yes
3,8/31/22 22:47,Seattle,WA,USA,Light,2 minutes,"What I thought was a satellite began to zig zag, stop and zig zag again.",12/22/22,
4,8/31/22 22:11,Vandalia,OH,USA,Star,15 mins,Looked like a regular star in the sky,10/8/22,
5,8/31/22 21:16,Socorro,NM,USA,Fireball,Ongoing ufos nightly,Flashing red lights in the distance turned off when I started recognizing & taking pics,9/9/22,Yes
6,8/31/22 21:05,Fredericksburg,TX,USA,Unknown,10 minutes,Silent and Slow moving craft at very low altitude with several pulsing white lights and one red light,9/9/22,Yes
7,8/31/22 21:02,Hoover,AL,USA,Diamond,Approximately 25 seconds,My girlfriend and I saw a diamond shaped object which quickly ascended and traveled at extraordinary speeds,9/9/22,
8,8/31/22 21:00,San Diego,CA,USA,Formation,On/off over 1 hour,Horizontal close row of 8 light green/lime colored lights,9/9/22,
9,8/31/22 20:30,Idaho Falls,ID,USA,Light,Only a few seconds,The best description of shape might be that of a gaming controller but it was mostly green light.,9/9/22,
10,8/31/22 20:00,Caledonia,IL,USA,Changing,30 minutes,At height of a plane nearby,10/8/22,Yes
11,8/31/22 19:48,Rancho Palos Verdes,CA,USA,Disk,1 Minute,See video,10/8/22,
12,8/31/22 19:35,everett,WA,USA,Cross,20 minutes,large black t floating,9/9/22,
13,8/31/22 19:24,Maricopa,AZ,USA,Fireball,90 minutes,"Glowing orange orbs over Sonoran Desert (8/24, 8/25) and Maricopa city/South Mountain (8/31)",9/9/22,Yes
14,8/31/22 06:00,Ardmore,OK,USA,Circle,20 minutes,Was on the porch and saw it. Started filming it and it changed shape and color,9/9/22,
15,8/31/22 03:46,Naperville,IL,USA,Circle,About 1 minute 5 sec,Wasn’t a plane,10/8/22,
16,8/30/22 23:30,Flight from Charlotte to Wilmington NC,NC,USA,Circle,several minutes,IR flashed and unknown objest,9/9/22,Yes
17,8/30/22 23:00,Ventrua,CA,USA,Fireball,1 minute,Fireball over Ventura county,9/9/22,
18,8/30/22 22:53,Dartmouth,NS,Canada,Circle,At least 5 minutes,"Not sure what it is. Flashes green, red, blue, and white. Had to use zoom on my phone so video is grainy.",10/8/22,
19,8/30/22 22:42,Orange,CA,USA,Fireball,About 30 seconds,Craft had a tail like a shooting star disappeared and reappeared before shooting into,9/9/22,
20,8/30/22 22:34,Fontan,CA,USA,Unknown,Maybe around 1min and 30,Saw a big red laser type of ship in the sky,9/9/22,
21,8/30/22 22:07,Missoula,MT,USA,Star,15-30 minutes,"This was above the concert Chicago, others may have seen - hundreds were there",9/9/22,Yes
22,8/30/22 22:00,Stevensville,MT,USA,Triangle,Brief,Daughter took an underexposed pictures and captured the object.,9/9/22,Yes
23,8/30/22 21:45,Deberry,TX,USA,Rectangle,5 minutes,Strobing lighted object moving in front of us,9/9/22,Yes
24,8/30/22 21:16,Nogales,AZ,USA,Fireball,1 min aproxx,Looking for light bugs we spotted a bright light moving silent in the sky.,9/9/22,
25,8/30/22 21:01,Cassatt,SC,USA,Triangle,25 seconds,3 objects flying at same speed crossing our path. They looked to be planes flying in a perfect elongated triangular pattern,9/9/22,
26,8/30/22 21:00,ajo,AZ,USA,Rectangle,5 second x2,Rectangular orange flares 30 sec apart,9/9/22,Yes
27,8/30/22 15:20,Eastover,SC,USA,Rectangle,5 secs,Cube shaped mettalic shiny with red lights floating just above treetop level,9/9/22,
28,8/30/22 08:51,Littleton,CO,USA,Cylinder,1 min approx,"REPEAT Sighting this morning AGAIN of 'Tic Tac'-like object slowing strolling over Denver foothills, same as yesterday...",9/9/22,Yes
29,8/30/22 08:07,Yucca valley,CA,USA,Changing,2 seconds,It was burning falling down and split apart and disappeared,9/9/22,
30,8/30/22 07:45,South Tulsa / Lake Bixhoma Park,OK,USA,Unknown,2 minutes,Playing Baseball at Indian Springs ball park. Noticed a metallic shining object moving from west to east at about 7 or so miles out.,9/9/22,
31,8/30/22 05:26,Zuni,NM,USA,Changing,20-30 minutes,Observed unknown objects moving in early morning sky.,12/22/22,
32,8/30/22 05:10,Worthing,West Sussex,United Kingdom,Formation,3 to 4 mins,A string of waving lights moving south east silent with a jet following a couple of miles behind the formation of lights,9/9/22,
33,8/30/22 02:11,Las Vegas,NV,USA,Disk,2 mins,Took a picture with an iPhone pro max 13,10/8/22,Yes
34,8/30/22 01:30,Haughton,LA,USA,Light,1 minute,Glowing in the sky witness by several employees,9/9/22,
35,8/29/22 23:06,"Auburn, Enumclaw area",WA,USA,Cigar,8 minutes aprox.,"Outside we saw a black cigar shaped ufo with 2 white lights, one on each end.",9/9/22,Yes
36,8/29/22 22:56,port st lucie,FL,USA,Other,2 seconds,It looked like a star but much closer and dropped to the ground extremely fast.,9/9/22,
37,8/29/22 22:15,Friendship,WI,USA,Circle,7 seconds,Glowing sphere moving east,9/9/22,
38,8/29/22 21:06,Carlsbad,NM,USA,Changing,15 min,Completley out of this world,9/9/22,
39,8/29/22 20:55,Sykesville,MD,USA,Oval,2:48,Oval craft stationary above treeline off to NW,9/9/22,
40,8/29/22 20:47,Miami,FL,USA,Light,Split second,Ball of light moving super fast,9/9/22,
41,8/29/22 19:33,Chandigarh,Chandigarh,India,Circle,More than 20 seconds.,Similar to a star and going in a straight line.,10/8/22,
42,8/29/22 19:00,Pittsburgh,PA,USA,Cigar,a few minutes,"I saw a disc in my backyard (see pic), then my neighbor and I saw oblong ufo (see video).",12/22/22,Yes
43,8/29/22 11:36,Aurora,CO,USA,Cross,3 minutes,Sighting of 4 objects moving from the north to the southeast.,9/9/22,Yes
44,8/29/22 11:00,Norfolk,CT,USA,Sphere,8-10 hours,Octagonal object with sphere inside,9/9/22,Yes
45,8/29/22 09:26,Clay,NY,USA,Circle,3 minutes,"Craft sped across the sky from east to north, sat and spun for a minute, then disappeared. No sound.",9/9/22,
46,8/29/22 06:15,Cancun,,Mexico,Light,Bright object recorded,Bright object in the sky,9/9/22,Yes
47,8/29/22 05:18,Newport,,USA,Sphere,20 to 39 minutes,"Floating sphere, that had beams & was then a disk shape.",9/9/22,Yes
48,8/29/22 02:03,Pinehurst,NC,USA,,15 mins…,Saw multi color object above horizon.,9/9/22,Yes
