,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
0,11/30/22 19:09,Choctaw,OK,USA,Triangle,Few minutes,3 lights hovering above road. Didn’t move or make a sound. Drove directly under it and could see that it was a small craft.,12/22/22,
1,11/30/22 14:15,,,,Oval,5 minutes,"During the flight, a strange object was visible outside of the window, which stayed in the same position for 5 minutes, and flew away",12/22/22,Yes
2,11/30/22 09:34,Csmpbrll,CA,USA,Light,Only captured with camera,Blue craft with a light inside around chem trails,12/22/22,Yes
3,11/29/22 23:45,Napa,CA,USA,Triangle,30 seconds,Triangular craft with three white lights on corners of the object.,12/22/22,
4,11/29/22 21:27,Somis,CA,USA,Rectangle,2 seconds,Looked like it entered the atmosphere and then disappeared,12/22/22,
5,11/29/22 21:26,Austin,TX,USA,Fireball,5 seconds,Saw a bright object falling to the ground silently and quickly. It appeared to have green lights and an orange tracer following.,12/22/22,
6,11/29/22 20:20,Carolina Beach,NC,USA,Rectangle,20 seconds,Something just slowly flew over the homes around 8:20pm with 8 inch red lights running along the bottom of it. No sound.,12/22/22,Yes
7,11/29/22 19:50,Colorado springs,CO,USA,Other,8min,"Enormous object, looked like a rock, miles long",12/22/22,
8,11/29/22 18:55,Harper Woods,MI,USA,Diamond,,Oddly shaped object that flew at a angle,12/22/22,
9,11/29/22 06:00,Portsmouth,NH,USA,Oval,Few seconds,While running in the early morning I saw these objects in the sky in my neighborhood.,12/22/22,Yes
10,11/28/22 22:15,sun prairie,WI,USA,Triangle,,Triangular Spaceship Object,12/22/22,
11,11/28/22 21:04,,,USA,Rectangle,23 minutes,"Oddly bright star, but when I zoomed in with my camera it had a strange shape",12/22/22,Yes
12,11/28/22 06:30,Niagara Falls,NY,USA,Disk,About 10 secs,Saw a disk fly over a red light while I was waiting for green. Other cars saw it because we did not all move when green.,12/22/22,
13,11/28/22 04:00,Sanford,NC,USA,Changing,A couple of hours,Unidentified object changing form and color dancing in the sky,12/22/22,
14,11/27/22 21:00,Elkton,MD,USA,Unknown,Few seconds,Me and my husband seen UFO while standing on back deck looking at the stars.,12/22/22,
15,11/27/22 16:38,lexington,SC,USA,Unknown,almost 2 minutes,afternoon sky watching,12/22/22,
16,11/27/22 15:30,La Grange,TX,USA,Cylinder,5 minutes Driving,Watched for about 5 minutes.,12/22/22,
17,11/27/22 14:00,Fargo,,USA,Circle,5 minutes,It was a circular object that would tip side to side black with a metallic glint when it would tip,12/22/22,
18,11/26/22 22:55,Hatboro,PA,USA,Triangle,15 mins,Hovering craft,12/22/22,Yes
19,11/26/22 19:15,Grand Rapids,MN,USA,Oval,Appeared in my photo,Did not notice until I tried to edit my photo,12/22/22,
20,11/26/22 18:00,Richmond,CA,USA,Other,5 minutes,Gold in Color orb like a distant Star near Jupiter,12/22/22,
