,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
0,9/30/22 22:51,Stevens Point,WI,USA,Disk,Several minutes & nights.,Shifting lights around disk with dome.,10/8/22,Yes
1,9/30/22 21:50,Lawrenceville,GA,USA,Light,9:50pm- 12:50am,Bright star like light pulsating and moving around erratically,10/8/22,Yes
2,9/30/22 21:00,Grand junction,CO,USA,Light,4 mins,Seen light come out of the clouds,12/22/22,
3,9/30/22 20:48,West valley city,UT,USA,Disk,"2 mins, 855pm 1 min, 9.",Caught on ring camera,10/8/22,
4,9/30/22 20:36,Flora,IL,USA,Circle,About 2 mins,They were little balls of bright orange light traveling signal file in a line,12/22/22,Yes
5,9/30/22 20:10,victoria,BC,Canada,Circle,approx. 10 min.,"long line of lights following each other, but not like pics from Space x photos these werte seperate white lights , no solid line !",10/8/22,
6,9/30/22 19:55,Lafayette,TN,USA,Star,It is still there,It was a red and white flashing light that was moving ever so slightly very fast.,10/8/22,
7,9/30/22 19:22,Cave City,AR,USA,Light,Several seconds,A very bright moving object that disappeared once observed.,10/8/22,
8,9/30/22 01:47,San Francisco,CA,USA,Circle,More than 15 minutes,"Object was at location for many minutes, it moved from its original location quickly back and forth with incredible speed",10/8/22,Yes
9,9/30/22 00:30,"New Miami, Ohio (Hamilton Ohio)",OH,USA,Sphere,Has not disappeared,"There were 2 consistent visible spheres. 1 was lower and glowing and flashing red, the other was white and moving frequently",10/8/22,Yes
10,9/29/22 23:12,nana District,Chongqing,China,Light,one second,"Like a string, a yellow or maybe orange light continue about one second",10/8/22,
11,9/29/22 21:50,Chatsworth,CA,USA,Unknown,,UFO,10/8/22,
12,9/29/22 21:00,Iowa City,IA,USA,Other,30 - 40 seconds,I barely visible dark boomerang glided across the sky noiselessly. No lights.,10/8/22,
13,9/29/22 20:55,Canyon Country,CA,USA,Triangle,20 to 25 seconds,"V shaped silent craft traveling west to east about 500 feet above with 12 to 14 white lights in the V shaped, pointed front formation.",10/8/22,
14,9/29/22 20:29,Louisville,TN,USA,Cigar,105,Security camera footage of probe or craft looking in house all doors and drawers were also pulled open and a cat is missing from inside,12/22/22,
