,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
0,12/22/22 10:50,Ahmedabad,,,Unknown,15 seconds,"It was moving very fast, and travelling speed and direction was uneven",12/22/22,
1,12/22/22 09:29,Newark,DE,USA,Light,30 secomds,I saw a light that was not flashing moving then disappeared,12/22/22,
2,12/22/22 00:00,Johannesburg,Gauteng,South Africa,Triangle,15 min,Strange flying objects moving in different directions,12/22/22,Yes
3,12/21/22 21:33,Columbus,OH,USA,Light,1-2 minutes,4-5 orange balls of light in a straight line,12/22/22,
4,12/21/22 17:40,Didcot,Oxfordshire,United Kingdom,Circle,2 minutes,"Low cloud, 5 lights circling in the distance, then 5 lights directly over my car",12/22/22,
5,12/21/22 07:55,Essex,ON,Canada,Changing,20 minutes,Driving seeing what looks like comets only motionless. Took video. One was straight up and down. Disappear reappears.,12/22/22,
6,12/21/22 04:11,Franklin,ME,USA,Light,2 hours,Hovering bright light with satellite lights expelling from it,12/22/22,
7,12/20/22 23:30,East Greenwich,RI,USA,Light,3 seconds maybe even less,I was driving the interstate at night with my buddy headed to casino when a very bright flashing light appeared in the horizon,12/22/22,
8,12/20/22 21:58,Mentor Headlands,OH,USA,Cylinder,A few minutes,"Looked cylindrical from the lights, changing colors from white to red to orange then yellow back to white, .",12/22/22,
9,12/20/22 02:30,Washington DC,WA,USA,Triangle,1-2 minutes,"Object hovering 1-2 minutes, then disappeared with such a speed that clouds were moving,",12/22/22,
10,12/20/22 02:00,Tucson,AZ,USA,Sphere,5 minutes,Saw a giant glowing sphere with lights going around and around in a circle,12/22/22,
11,12/20/22 01:04,New Gretna,NJ,USA,Sphere,20 minutes,"Silver sphere with super bright lights on bottom, zigzagging and ""teleporting"" at impossible speed and angles for 20 minutes",12/22/22,
12,12/19/22 00:05,Orlando,FL,USA,Cylinder,1hour,"Five gold orbs, turning white, Cylinder",12/22/22,Yes
13,12/18/22 21:05,Conover,NC,USA,Cross,4 minutes,An unidentified drone-shaped craft with 4 flashing white LEDs was seen hovering over my house.,12/22/22,
14,12/18/22 20:20,Stevensville,MT,USA,Triangle,1 minute,Blue triangle of lights,12/22/22,
15,12/18/22 19:58,,WA,USA,Changing,,Aircraft saw UFO out to the west,12/22/22,
16,12/18/22 19:48,Miami,FL,USA,Other,About 2 minutes,1 ship v shaped square like 2 rectangles slanted towards each other v shaped white/peach color 2 red lightsbehind it right one blinking,12/22/22,
17,12/18/22 18:00,Springfield,OR,USA,Triangle,120 seconds,One side of craft had 2 rows of lights on,12/22/22,Yes
18,12/18/22 16:15,Effingham,IL,USA,Star,1 minute,UFO caught near military jets.,12/22/22,
19,12/18/22 13:19,Crossville,TN,USA,Sphere,4 minutes,"I saw a white, spherical object moving at a steady pace while a plane was not too far behind it, going the same direction.",12/22/22,Yes
20,12/18/22 06:00,Bowie,MD,USA,Circle,20 to 30 seconds,Hovering ball of light.,12/22/22,
21,12/18/22 01:00,Bradford,TN,USA,Unknown,still on going,"Was watching meteors and looking at sky when my brother noticed something behind what looked like a small cloud, it had a red glare",12/22/22,
22,12/18/22 00:40,Eureka Springs,AR,USA,Other,Approx. 15-20 seconds,A V shape array of 4 lights each side going east to west,12/22/22,
23,12/18/22 00:40,Eureka Springs,AR,USA,Triangle,About 8 seconds,While looking at the stars a triangle of light flew over head at an incredible speed.,12/22/22,
24,12/17/22 21:40,Delray Beach,FL,USA,Triangle,8-10 min,Triopd of lights over ocean; non moving,12/22/22,Yes
25,12/17/22 21:00,Springfield,IL,USA,Triangle,2 to 3 minutes,Triangular object with multiple lights on the underside,12/22/22,
26,12/17/22 20:00,,WA,USA,Changing,ongoing,Multiple aircraft westbound reported seeing a UFO,12/22/22,
27,12/17/22 19:45,Tupelo,MS,USA,Light,15 minutes,3 chasing and dancing non blinking white lights,12/22/22,
28,12/17/22 18:48,Halfmoon bay,CA,USA,Rectangle,About 15 seconds,Took a picture of long rectangle light moving very fast! And disappeared,12/22/22,Yes
