,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
0,7/31/22 22:52,Cuenca,,Ecuador,Light,5 minutes,Triangle shape moving lights,10/8/22,Yes
1,7/31/22 21:59,West Lafayette,OH,USA,Light,4 minutes,Bright circle light moving through sky.,9/9/22,Yes
2,7/31/22 21:45,Burr Ridge,IL,USA,Other,,"Strange red, blue and black craft in the sky and green light below it just above the tree line",9/9/22,Yes
3,7/31/22 21:25,"Lingan, Cape Breton Island",NS,Canada,Cylinder,1-2 minutes,We were waiting for fireworks to start across the harbour when we noticed it...,9/9/22,
4,7/31/22 21:15,Conway,SC,USA,Circle,Less than a minute,Round bright white light go in a straight line like I’m in Conway Hills heading like going Columbia South Carolina Way,9/9/22,
5,7/31/22 21:11,Keyser,WV,USA,Light,2 minutes,Saw an orb that interacted with me.,9/9/22,
6,7/31/22 20:43,gressham,OR,USA,Unknown,less than a minute,A single soft red light that pulsed three times then disappeared,9/9/22,
7,7/31/22 20:30,Eddyville,KY,USA,Changing,1minute or more,"3 craft were flying. 2 disappeared 1 hovered, made 90 degree turn, then became an oval balloon looking craft, then disappeared",9/9/22,Yes
8,7/31/22 20:20,Carpinteria,CA,USA,Diamond,60 seconds,I saw this disk above my head I just can't think of what it could be,9/9/22,
9,7/31/22 17:00,Tacoma,WA,USA,Light,25 min,Multiple bright lights,9/9/22,Yes
10,7/31/22 10:26,Syosset,,,Circle,1 hr,White round,9/9/22,Yes
11,7/31/22 09:57,Charlotte,NC,USA,Circle,1 minute,Bright white light that moved fairly quickly then turned red and dim until no longer visible NOT ISS,9/9/22,
12,7/31/22 06:30,Burnet,TX,USA,Circle,5 minutes,Took 3 photos . It changed shape progressively,9/9/22,Yes
13,7/31/22 02:30,Seattle,WA,USA,Formation,1 minute,Viewed 3 lights in a line and another single light fly in formation over Puget sound from South to north,9/9/22,
14,7/31/22 02:00,Naples,FL,USA,Rectangle,At least 30 min,Bright white light looks square,9/9/22,Yes
15,7/31/22 01:00,Near Chicago Area,null,,Light,15 to 30 seconds,"Bright light, almost like a very bright star, slowly hovering laterally, then making a turn back above the clouds",9/9/22,
16,7/31/22 01:00,Tacoma,WA,USA,Light,3 yrs,"Lights in forest and coming into my room, during day it looks a silhouette of transparent heat waves,",9/9/22,
17,7/30/22 23:45,Flemington,NJ,USA,Diamond,over 1 hour,Hovering object in the southeast sky about 30 degrees above the horizon,10/8/22,Yes
18,7/30/22 23:05,Fremont,CA,USA,Disk,3 seconds,Fastest UFO flying very close,9/9/22,
19,7/30/22 23:01,Bella Vista,AR,USA,Cigar,2:00 Minutes,A disk that had lights on it hovered over the lake and disappeared in a blink of an eye.,9/9/22,
20,7/30/22 22:35,Dorchester,MA,USA,Rectangle,2 hours,Looked up & saw a large pulsing ball of light. Took video & enlarged it 2x’s & noticed it’s actually a rectangle of light,9/9/22,Yes
21,7/30/22 21:25,Dalton Gardens,ID,USA,Light,1 minute,Satellite type of light moving horizontally west to east disappearing,9/9/22,
22,7/30/22 21:12,Philadelphia,PA,USA,Sphere,5 minutes,Flying orb or sphere that changes colors and physical form.,9/9/22,
23,7/30/22 21:00,Harrisburg,PA,USA,Unknown,N/a,It's orbs all on me,12/22/22,
24,7/30/22 20:45,Wexford,PA,USA,Cigar,1/2 hour,"I think it was the chinese ship, it was tumbling and clearly visible with my scope. I have video and stills.",9/9/22,Yes
25,7/30/22 19:52,Mossy Point,New South Wales,Australia,Cross,5 minutes,"A white light, which looked like a planet, moved erratically, to eliminate it being a plane or satellite. Refer video.",9/9/22,
26,7/30/22 19:28,Newark,NJ,USA,Sphere,10 minutes,25-30 white orbs coming from behind a cloud over Newark and slowly vanishing,9/9/22,Yes
27,7/30/22 17:00,Hicksville,NY,USA,Other,At least 1hr,Black orb,9/9/22,Yes
28,7/30/22 15:35,Chenoa,,USA,Oval,about 15 sec,Oval moving slightly north east to slightly south west.,9/9/22,
29,7/30/22 09:20,River Forest,IL,USA,Sphere,About 10 minutes,Saw two silver spherical shapes in the sky which moved slowly eastward. They could by balloons but I thought I would file a report anyw,9/9/22,
30,7/30/22 02:40,Sydney,New South Wales,Australia,Circle,Aprox.11 seconds,Floating translucent orb,9/9/22,
31,7/30/22 02:20,Eudora,KS,USA,Light,5 seconds,I saw a star move then take off,9/9/22,
32,7/30/22 01:47,North Dartmouth,MA,USA,Circle,10 seconds,Woke up to see a very bright light emitting showers of sparks moving South to North,12/22/22,
33,7/30/22 01:30,Treknow,Cornwall,United Kingdom,Sphere,5-10 minutes,"Bright Orb, moving very slowly, changed course left in a smooth like fashion, doubled back on itself quickly, light remained but dimmed",9/9/22,
34,7/30/22 01:30,Randolph,VT,USA,Light,Roughly a half hour,My husband and I saw a distinct large light hovering in the sky rotating for roughly a half hour.,9/9/22,
35,7/30/22 00:37,Gothenburg,Västra Götaland County,Sweden,,1 minute,My firend recorded this sighting while he was working. He send what he recorded via snapchat. He was looking for an answer.,9/9/22,
