Date,City,State,Country,Shape,Duration,Summary,Posted,Images,ReportNum,Location,Latitude,Longitude
7/31/2022 21:59,West Lafayette,OH,USA,Light,4 minutes,Bright circle light moving through sky.,9/9/2022,Yes,1,"West Lafayette, OH",40.2753487,-81.7509601
7/31/2022 21:45,Burr Ridge,IL,USA,Other,,"Strange red, blue and black craft in the sky and green light below it just above the tree line",9/9/2022,Yes,2,"Burr Ridge, IL",41.7489203,-87.9183919
7/31/2022 21:15,Conway,SC,USA,Circle,Less than a minute,Round bright white light go in a straight line like I’m in Conway Hills heading like going Columbia South Carolina Way,9/9/2022,,3,"Conway, SC",33.8360034,-79.0478143
7/31/2022 21:11,Keyser,WV,USA,Light,2 minutes,Saw an orb that interacted with me.,9/9/2022,,4,"Keyser, WV",39.4409277,-78.9739156
7/31/2022 20:43,gressham,OR,USA,Unknown,less than a minute,A single soft red light that pulsed three times then disappeared,9/9/2022,,5,"gressham, OR",45.5044715,-122.4356657
7/31/2022 20:30,Eddyville,KY,USA,Changing,1minute or more,"3 craft were flying. 2 disappeared 1 hovered, made 90 degree turn, then became an oval balloon looking craft, then disappeared",9/9/2022,Yes,6,"Eddyville, KY",37.0944971,-88.080301
7/31/2022 20:20,Carpinteria,CA,USA,Diamond,60 seconds,I saw this disk above my head I just can't think of what it could be,9/9/2022,,7,"Carpinteria, CA",34.3988838,-119.5184564
7/31/2022 17:00,Tacoma,WA,USA,Light,25 min,Multiple bright lights,9/9/2022,Yes,8,"Tacoma, WA",47.2528768,-122.4442906
7/31/2022 9:57,Charlotte,NC,USA,Circle,1 minute,Bright white light that moved fairly quickly then turned red and dim until no longer visible NOT ISS,9/9/2022,,9,"Charlotte, NC",35.2270869,-80.8431267
7/31/2022 6:30,Burnet,TX,USA,Circle,5 minutes,Took 3 photos . It changed shape progressively,9/9/2022,Yes,10,"Burnet, TX",30.7582376,-98.2283585
7/31/2022 2:30,Seattle,WA,USA,Formation,1 minute,Viewed 3 lights in a line and another single light fly in formation over Puget sound from South to north,9/9/2022,,11,"Seattle, WA",47.6062095,-122.3320708
